                   0 a=    x, b=    x, c=x, sum=    z, carry=z
                   10                  10 a=13396, b=14449, c=0, sum=    x, carry=x
                   20                  20 a= 4409, b=24339, c=0, sum=27845, carry=0
                   30                  30 a=12605, b= 2605, c=0, sum=28748, carry=0
                   40                  40 a=28677, b=  434, c=0, sum=15210, carry=0
                   50                  50 a=17009, b=19677, c=0, sum=29111, carry=0
                   60                  60 a=14966, b=23245, c=0, sum=36686, carry=0
                   70                  70 a= 1277, b= 1260, c=0, sum=38211, carry=0
                   80                  80 a= 8937, b= 8278, c=0, sum= 2537, carry=0
                   90                  90 a= 8549, b=22474, c=0, sum=17215, carry=0
                  100                 100 a=18533, b=27607, c=0, sum=31023, carry=0
                  110                 110 a= 6546, b= 8687, c=0, sum=46140, carry=0
                  120                 120 a=19634, b=25102, c=0, sum=15233, carry=0
                  130                 130 a=28520, b=15605, c=0, sum=44736, carry=0
                  140                 140 a=21532, b= 4845, c=0, sum=44125, carry=0
                  150                 150 a=17981, b= 5141, c=0, sum=26121, carry=0
                  160                 160 a=21875, b=10938, c=0, sum=23122, carry=0
                  170                 170 a=17280, b=11184, c=0, sum=63533, carry=0
                  180                 180 a=29162, b= 4573, c=0, sum=28464, carry=0
                  190                 190 a=14374, b=27283, c=0, sum=33735, carry=0
                  200                 200 a=18413, b=15235, c=0, sum=41657, carry=0
                  210                 210 a=23003, b=14837, c=0, sum=17264, carry=0
                  220                 220 a= 3490, b= 9934, c=0, sum=37840, carry=0
                  230                 230 a= 6029, b= 3231, c=0, sum=13424, carry=0
                  240                 240 a=25795, b=15418, c=0, sum= 9260, carry=0
                  250                 250 a=18218, b=27260, c=0, sum=41341, carry=0
                  260                 260 a=21154, b=21178, c=0, sum=45478, carry=0
                  270                 270 a= 5505, b= 8056, c=0, sum=42332, carry=0
                  280                 280 a= 6088, b=29401, c=0, sum=13561, carry=0
                  290                 290 a=12075, b=27414, c=0, sum=35489, carry=0
                  300                 300 a=17174, b=22734, c=0, sum=39425, carry=0
                  310                 310 a= 6716, b=14842, c=0, sum=40932, carry=0
                  320                 320 a= 5755, b=28785, c=0, sum=20534, carry=0
                  330                 330 a=26389, b=16623, c=0, sum=34540, carry=0
                  340                 340 a=13243, b= 9242, c=0, sum=43396, carry=0
                  350                 350 a= 1294, b= 6149, c=0, sum=24533, carry=0
                  360                 360 a=  801, b= 6009, c=0, sum= 7443, carry=0
                  370                 370 a= 2882, b=25596, c=0, sum= 6810, carry=0
                  380                 380 a= 6927, b=11503, c=0, sum=28446, carry=0
                  390                 390 a= 5368, b=16295, c=0, sum=19454, carry=0
                  400                 400 a=27295, b=11916, c=0, sum=21695, carry=0
                  410                 410 a=27771, b=17545, c=0, sum=39211, carry=0
                  420                 420 a= 5913, b=  304, c=0, sum=45316, carry=0
                  430                 430 a= 7623, b=14897, c=0, sum= 6217, carry=0
                  440                 440 a= 9718, b=20012, c=0, sum=20984, carry=0
                  450                 450 a= 6466, b=27752, c=0, sum=28706, carry=0
                  460                 460 a=28583, b=20573, c=0, sum=34218, carry=0
                  470                 470 a= 1106, b= 2414, c=0, sum=46980, carry=0
                  480                 480 a= 4189, b=16201, c=0, sum= 3520, carry=0
                  490                 490 a=11087, b=21827, c=0, sum=20390, carry=0
                  500                 500 a= 3381, b= 8616, c=0, sum=24722, carry=0
                  510                 510 a=18091, b=22201, c=0, sum=11997, carry=0
                  520                 520 a=18015, b=16458, c=0, sum=40292, carry=0
                  530                 530 a= 2840, b= 6710, c=0, sum=34473, carry=0
                  540                 540 a=29486, b=15148, c=0, sum= 9550, carry=0
                  550                 550 a=28474, b= 7270, c=0, sum=44634, carry=0
                  560                 560 a=11363, b=20243, c=0, sum=35744, carry=0
                  570                 570 a= 6031, b=12339, c=0, sum=31606, carry=0
                  580                 580 a=27039, b=19364, c=0, sum=18370, carry=0
                  590                 590 a= 9159, b=10923, c=0, sum=46403, carry=0
                  600                 600 a=16550, b=25962, c=0, sum=20082, carry=0
                  610                 610 a=13369, b= 9261, c=0, sum=42512, carry=0
                  620                 620 a=13898, b=27717, c=0, sum=22630, carry=0
                  630                 630 a= 1445, b=  927, c=0, sum=41615, carry=0
                  640                 640 a=27305, b= 5604, c=0, sum= 2372, carry=0
                  650                 650 a=15920, b=17866, c=0, sum=32909, carry=0
                  660                 660 a= 3323, b=21662, c=0, sum=34810, carry=0
                  670                 670 a=26764, b=14298, c=0, sum=24985, carry=0
                  680                 680 a=13181, b=24835, c=0, sum=32870, carry=0
                  690                 690 a=22198, b=14654, c=0, sum=37984, carry=0
                  700                 700 a= 9639, b=20666, c=0, sum=36852, carry=0
                  710                 710 a=22342, b=14936, c=0, sum=30305, carry=0
                  720                 720 a=28313, b=22280, c=0, sum=37278, carry=0
                  730                 730 a=18852, b=20499, c=0, sum=50593, carry=0
                  740                 740 a=14468, b= 2393, c=0, sum=39351, carry=0
                  750                 750 a=11099, b=16189, c=0, sum=16861, carry=0
                  760                 760 a=24377, b=17405, c=0, sum=27288, carry=0
                  770                 770 a=25702, b=17978, c=0, sum=41782, carry=0
                  780                 780 a= 9334, b=20501, c=0, sum=43680, carry=0
                  790                 790 a=28038, b=29940, c=0, sum=29835, carry=0
                  800                 800 a=28855, b=12249, c=0, sum=57978, carry=0
                  810                 810 a=16196, b=16104, c=0, sum=41104, carry=0
                  820                 820 a=10024, b=27005, c=0, sum=32300, carry=0
                  830                 830 a=17463, b=25262, c=0, sum=37029, carry=0
                  840                 840 a=26024, b=22204, c=0, sum=42725, carry=0
                  850                 850 a=16477, b=24489, c=0, sum=48228, carry=0
                  860                 860 a=22396, b=17030, c=0, sum=43014, carry=0
                  870                 870 a=26682, b=20317, c=0, sum=39554, carry=0
                  880                 880 a=26326, b=24944, c=0, sum=46999, carry=0
                  890                 890 a=28771, b= 9658, c=0, sum=51270, carry=0
                  900                 900 a= 9806, b=29930, c=0, sum=38429, carry=0
                  910                 910 a=16149, b=26106, c=0, sum=39736, carry=0
                  920                 920 a=12697, b=  727, c=0, sum=42255, carry=0
                  930                 930 a=14982, b=20576, c=0, sum=13424, carry=0
                  940                 940 a=16326, b= 1014, c=0, sum=35558, carry=0
                  950                 950 a= 1709, b=27388, c=0, sum=  956, carry=0
                  960                 960 a=16518, b=28616, c=0, sum=29097, carry=0
                  970                 970 a=26302, b=10107, c=0, sum=45134, carry=0
                  980                 980 a= 9567, b= 9769, c=0, sum=36409, carry=0
                  990                 990 a=12058, b= 8161, c=0, sum=19336, carry=0
                 1000                1000 a=24679, b=14481, c=0, sum=20347, carry=0
                 1010                1010 a= 3158, b= 5184, c=0, sum=39160, carry=0
                 1020                1020 a=22069, b=18965, c=0, sum= 8342, carry=0
                 1030                1030 a=12233, b=16401, c=0, sum=41034, carry=0
                 1040                1040 a=24805, b=  184, c=0, sum=27610, carry=0
                 1050                1050 a=17611, b= 3363, c=0, sum=24989, carry=0
                 1060                1060 a=18828, b=16554, c=0, sum=20974, carry=0
                 1070                1070 a= 5822, b= 4280, c=0, sum=35382, carry=0
                 1080                1080 a= 9417, b=21553, c=0, sum=10102, carry=0
                 1090                1090 a= 2430, b= 4054, c=0, sum=31226, carry=0
                 1100                1100 a= 4079, b= 1754, c=0, sum= 6484, carry=0
                 1110                1110 a=20890, b= 9741, c=0, sum= 5833, carry=0
                 1120                1120 a=16862, b=24408, c=0, sum=32679, carry=0
                 1130                1130 a= 2041, b= 7160, c=0, sum=33078, carry=0
                 1140                1140 a= 4090, b=16931, c=0, sum= 9201, carry=0
                 1150                1150 a=23419, b= 2215, c=0, sum=21021, carry=0
                 1160                1160 a=17958, b=12794, c=0, sum=25634, carry=0
                 1170                1170 a=26580, b= 5529, c=0, sum=30752, carry=0
                 1180                1180 a=24770, b=29412, c=0, sum=32109, carry=0
                 1190                1190 a=28719, b=22806, c=0, sum=54182, carry=0
                 1200                1200 a= 2042, b=17170, c=0, sum=51525, carry=0
                 1210                1210 a=24530, b=12973, c=0, sum=19212, carry=0
                 1220                1220 a=29860, b= 8964, c=0, sum=37439, carry=0
                 1230                1230 a= 6570, b=  985, c=0, sum=40872, carry=0
                 1240                1240 a= 5313, b=28526, c=0, sum= 7555, carry=0
                 1250                1250 a=18891, b=21515, c=0, sum= 1071, carry=0
                 1260                1260 a=25487, b= 8265, c=0, sum=40406, carry=0
                 1270                1270 a=28614, b= 6949, c=0, sum=33752, carry=0
                 1280                1280 a=18847, b=29979, c=0, sum=35563, carry=0
                 1290                1290 a=22744, b= 2814, c=0, sum=65210, carry=0
                 1300                1300 a= 7707, b=11458, c=0, sum=25558, carry=0
                 1310                1310 a= 1544, b=16893, c=0, sum=19165, carry=0
                 1320                1320 a= 8123, b= 6482, c=0, sum=18181, carry=0
